question,error_type,is_impossible,gold_answers,predicted_answer,predicted_no_answer,f1,chunk_id,gold_chunk_id,section_title,bert_score,reranked_rank,retrieval_score,reranker_score
Da quali materiali è costituita la rupe del Castello di Aci Castello?,false_no_answer,False,"['un agglomerato di tufo palagonico e di basalto globulare', 'agglomerato di tufo palagonico e di basalto globulare', 'di tufo palagonico e di basalto globulare', 'tufo palagonico e di basalto globulare']",La risposta non è presente nel contesto.,True,0.0,chunk_0002,chunk_0001,LA RUPE,0.9296159148216248,1,0.8475329279899597,0.8843051791191101
"Quale forma si pensa che potesse avere la Rupe nell'antichità, prima delle trasformazioni dovute ai millenni e all'opera degli uomini?",false_no_answer,False,"['appuntita a guisa di piramide', 'a guisa di piramide', 'guisa di piramide']",La risposta non è presente nel contesto.,True,0.0,chunk_0005,chunk_0005,LA RUPE,0.23279555968474597,1,0.841858983039856,0.9287506937980652
Nei versi del componimento 'Castello d'Aci' quale espressione viene usata per descrivere il profilo della rupe?,false_no_answer,False,"['il maschio tuo profilo avventuroso', 'maschio tuo profilo avventuroso']",La risposta non è presente nel contesto.,True,0.0,chunk_0092,chunk_0006,IL CANTO DEL CARCERATO,0.8675611019134521,1,0.837454080581665,0.548557698726654
Quali spostamenti vengono messi in evidenza dallo studio dei bradisismi?,false_no_answer,False,"['dei notevoli, per quanto lenti, spostamenti nelle linee di spiaggia', 'notevoli, per quanto lenti, spostamenti nelle linee di spiaggia', 'per quanto lenti, spostamenti nelle linee di spiaggia', 'spostamenti nelle linee di spiaggia', 'nelle linee di spiaggia']",La risposta non è presente nel contesto.,True,0.0,chunk_0008,chunk_0008,POCHE NOTE DI GEOLOGIA,0.11216862499713898,1,0.7720568776130676,0.6869644522666931
Quale tipo di rocce costituisce il cono dell’Etna?,false_no_answer,False,"['materiali basaltici e doloritici', 'basaltici e doloritici']",La risposta non è presente nel contesto.,True,0.0,chunk_0008,chunk_0008,POCHE NOTE DI GEOLOGIA,0.2349631839460926,1,0.8391158580780029,0.4377671480178833
"In quale piana geologica, situata a meridione del vulcano Etna, si formarono originariamente i numerosi vulcanetti secondari?",false_no_answer,False,"['piana neozoica', 'neozoica']",La risposta non è presente nel contesto.,True,0.0,chunk_0009,chunk_0009,POCHE NOTE DI GEOLOGIA,0.9592571258544922,1,0.8363717198371887,0.9778052568435669
Chi fece un voto alla Madonna promettendo di erigere un Santuario in Suo onore se avesse trovato l'acqua?,wrong_span,False,"['il Conte Ruggiero', 'Conte Ruggiero', 'Ruggiero']",Dionisio,False,0.0,chunk_0034,chunk_0030,VALVERDE,0.4280605524654675,2,0.8419139385223389,0.939775288105011
Quale costruzione saracena riportava il motto Cristovince citato nel testo?,false_answer,True,[],ruderi di una costruzione,False,0.0,chunk_0027,,PERIODO NORMANNO,0.014069120399653912,1,0.8147271871566772,0.9211759567260742
"Chi tenne la giovane Maria, erede al trono di Sicilia, quasi prigioniera nel Castello Ursino di Catania?",wrong_span,False,['Artale'],non intendeva sposarla.,False,0.0,chunk_0057,chunk_0057,GLI ALAGONA,0.021728282066760585,1,0.8713607788085938,0.9999767541885376
Quale emissario portò a Palermo la promessa di Artale di rendere omaggio al Duca Martino?,false_answer,True,[],"Manfredi,",False,0.0,chunk_0058,,RE MARTINO,0.863861950696446,1,0.8216460943222046,0.991354763507843
